0,Spicy Paneer Wrap,0
1,American Veg Burger,0
2,Veg Maharaja Mac,0
3,Green Chilli Aloo Naan,0
4,Pizza Puff,0
5,Mc chicken Burger,0
6,FILLET-O-FISH Burger,0
7,Mc Spicy Chicken Burger,0
8,Spicy Chicken Wrap,0
9,Chicken Maharaja Mac,0
10,American Chicken Burger,0
11,Chicken Kebab Burger,0
12,Green Chilli Kebab naan,0
13,Mc Egg Masala Burger,0
14,Mc Egg Burger for Happy Meal,0
15,Ghee Rice with Mc Spicy Fried Chicken 1 pc,0
16,McSpicy Fried Chicken 1 pc,0
17,4 piece Chicken McNuggets,0
18,6 piece Chicken McNuggets,0
19,9 piece Chicken McNuggets,0
20,2 piece Chicken Strips,0
21,3 piece Chicken Strips,0
22,5 piece Chicken Strips,0
23,Regular Fries,0
24,Medium Fries,0
25,Large Fries,0
26,Regular Wedges,0
27,Medium Wedges,0
28,Large Wedges,0
29,L1 Coffee,0
30,L1 Coffee with milk,0
31,Double Chocochips Muffin,0
32,Vanilla Chocochips Muffin,0
33,Veg McMuffin,1
34,Double Cheese McMuffin,1
35,Spicy Egg McMuffin,1
36,Sausage Mc Muffin,1
37,Sausage Mc Muffin with egg,1
38,Egg McMuffin,1
39,Hot Cake with maple syrup,1
40,Hash Brown,1
41,Espresso,1
42,Espresso Machiato,1
43,Americano (S),1
44,Americano (R),1
45,Americano (L),1
46,Cappuccino (S),1
47,Cappuccino (R),1
48,Cappuccino (L),2
49,Latte (S),2
50,Latte (R),2
51,Latte (L),2
52,Flat White (S),2
53,Flat White (R),2
54,Flat White (L),2
55,Mocha (S),2
56,Mocha (R),2
57,Mocha (L),2
58,Babycino,2
59,Hot Chocolate (S),2
60,Hot Chocolate (R),2
61,Hot Chocolate (L),2
62,Premium Dark Hot Chocolate,2
63,Double Dark Hot Chocolate,2
64,English Breakfast (S),2
65,English Breakfast (R),2
66,English Breakfast (L),2
67,Moroccon Mint Green Tea (S),2
68,Moroccon Mint Green Tea (R),2
69,Moroccon Mint Green Tea (L),2
70,Strawberry Green Tea (S),2
71,Strawberry Green Tea (R),2
72,Strawberry Green Tea (L),2
73,Lemon Ice Tea,2
74,Strawberry Ice Tea,2
75,Green Apple Ice Tea,2
76,Iced Coffee,2
77,Cold Coffee Frappe,2
78,Mocha Frappe,2
79,Chocolate Oreo Frappe,2
80,Strawberry Shake,2
81,Chocolate Shake,2
82,Mango Smoothie,2
83,Mixed Berry Smoothie,2
84,Raw Mango Cooler,2
85,Mix Berry Cooler,2
86,Sweet Lime Beverage,2
87,Iced Americano,2
88,American Mud Pie Shake,2
89,Soft serve cone,2
90,McSwirl ChocoDip,2
91,Regular Soft Serve: Hot Fudge,2
92,Medium Soft Serve: Hot Fudge,2
93,Regular Soft Serve: Strawberry,2
94,Medium Soft Serve: Strawberry,2
95,Regular Soft Serve: Brownie with Hot Fudge,2
96,Medium Soft Serve: Brownie with Hot Fudge,2
97,Regular Blackforest,2
98,Medium Blackforest,2
99,Small McFlurry - Oreo,3
100,Regular McFlurry - Oreo,3
101,American Triple Cheese Chicken,4
102,American Triple Cheese Veg,4
103,Cheese Lava Burger,4
104,Chicken Cheese Lava Burger,4
105,Chunky Chipotle American Burger Chicken,4
106,McSpicy Premium Chicken Burger,4
107,McSpicy Premium Veg Burger,4
108,Piri piri Mc Spicy Chicken Burger,4
109,Piri piri Mc Spicy Veg Burger,4
110,Cheesy Veg Nuggets (6pc),4
111,Cheesy Veg Nuggets (9pc),4
112,Small Coca-Cola,5
113,Medium Coca-Cola,5
114,Large Coca-Cola,5
115,Small Fanta Oragne,5
116,Medium Fanta Orange,5
117,Large Fanta Oragne,5
118,Small Thums-up,5
119,Medium Thums-up,5
120,Large Thums-up,5
121,Small Sprite,5
122,Medium Sprite,5
123,Large Sprite,5
124,Coke Float,5
125,Fanta Float,5
126,Sprite Float,5
127,Coke Zero Can,5
128,Vedica Natural Mineral Water,5
129,Mustard diping sauce,6
130,BBQ diping sauce,6
131,Chilli Sauce,6
132,Piri Piri Mix,6
133,Tomato Ketchup Sachets,6
134,Maple Syrup,6
135,Cheese Slice,6
136,Sweet Corn,6
137,Mixed Fruit Beverage,6
